time,speed_mps,throttle,steer,brake,x,y,z,pitch,yaw,roll
0.0,0.05731832236051655,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,-0.014911956153810024,0.0,0.15919795632362366,0.0
0.05,0.044310081750318045,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,-0.012448081746697426,0.0,0.15919795632362366,0.0
0.1,0.03400721401003457,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,-0.010551529005169868,0.0,0.15919795632362366,0.0
0.15,0.02593709900975399,0.8500000238418579,-0.15000000596046448,0.0,-64.64484405517578,24.471010208129883,-0.009101294912397861,0.0,0.15919795632362366,0.0
0.2,0.01967893540859557,0.8500000238418579,-0.15000000596046448,0.0,-64.64484405517578,24.471010208129883,-0.007998581044375896,0.0,0.15919795632362366,0.0
0.25,0.014861773700181066,0.8500000238418579,-0.15000000596046448,0.0,-64.64484405517578,24.471010208129883,-0.007164268288761377,0.0,0.15919795632362366,0.0
0.3,0.011177520267673411,0.8500000238418579,-0.15000000596046448,0.0,-64.64484405517578,24.471010208129883,-0.00653572054579854,0.0,0.15919795632362366,0.0
0.35,0.008377389982352606,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.006063919048756361,0.0,0.15919795632362366,0.0
0.4,0.006258487701428642,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.005711021367460489,0.0,0.15919795632362366,0.0
0.45,0.004660530015839772,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.0054478454403579235,0.0,0.15919795632362366,0.0
0.5,0.0034625052940189063,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.005252113100141287,0.0,0.15919795632362366,0.0
0.55,0.0009875678515156516,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.005221023224294186,0.0,0.15919795632362366,0.0
0.6,0.0013448238605707247,0.8500000238418579,-0.10903239995241165,0.0,-64.64484405517578,24.471010208129883,-0.0051593780517578125,0.0,0.15919795632362366,0.0
0.65,0.10129316117341551,0.8500000238418579,-0.10903239995241165,0.0,-64.64375305175781,24.47092628479004,-0.0051116179674863815,0.006058377679437399,0.15573009848594666,0.0023175294045358896
0.7,0.513039800031809,0.8500000238418579,-0.10903239995241165,0.0,-64.62554931640625,24.46981430053711,-0.005337981972843409,0.08569838106632233,0.09086301177740097,0.024690978229045868
0.75,0.745410281630224,0.8500000238418579,-0.10903239995241165,0.0,-64.59272003173828,24.46784782409668,-0.005594711285084486,0.17185437679290771,0.004367128014564514,0.04314013943076134
0.8,1.0049340006674579,0.8500000238418579,-0.10903239995241165,0.0,-64.54600524902344,24.46493911743164,-0.005838165059685707,0.2521842420101166,-0.1105956882238388,0.06187044456601143
0.85,1.206841157864881,0.8500000238418579,-0.10903239995241165,0.0,-64.4892578125,24.46137809753418,-0.005991439800709486,0.30543237924575806,-0.2620543837547302,0.0734226256608963
0.9,1.4056495707315277,0.8500000238418579,-0.10903239995241165,0.0,-64.42231750488281,24.45708465576172,-0.006098937708884478,0.3439546525478363,-0.43289175629615784,0.08169995248317719
0.95,1.5812689259035255,0.8500000238418579,-0.10468830913305283,0.0,-64.34606170654297,24.452117919921875,-0.00616313936188817,0.36883020401000977,-0.6434325575828552,0.08848576992750168
1.0,1.686396362122176,0.8500000238418579,-0.10468830913305283,0.0,-64.26427459716797,24.446395874023438,-0.0061372374184429646,0.3675256371498108,-0.8334656357765198,0.09057492762804031
1.05,1.832819739295093,0.8500000238418579,-0.10468830913305283,0.0,-64.17606353759766,24.43999671936035,-0.006094818003475666,0.36058616638183594,-1.0547178983688354,0.09315826743841171
1.1,2.013858951011838,0.8500000238418579,-0.10468830913305283,0.0,-64.07946014404297,24.432575225830078,-0.00607936829328537,0.36010122299194336,-1.277679443359375,0.09776166826486588
1.15,2.2249045971498083,0.8500000238418579,-0.08784052729606628,0.0,-63.97277069091797,24.424707412719727,-0.00610366789624095,0.3695746958255768,-1.5119324922561646,0.09279853105545044
1.2,2.458805382393005,0.8500000238418579,-0.08784052729606628,0.0,-63.85477828979492,24.41575813293457,-0.006161918397992849,0.38769516348838806,-1.74102783203125,0.0936119556427002
1.25,2.7113861436512146,0.8500000238418579,-0.08784052729606628,0.0,-63.72455596923828,24.405473709106445,-0.006244849879294634,0.4119560122489929,-2.00506591796875,0.1011633425951004
1.3,2.981760270965601,0.8500000238418579,-0.08784052729606628,0.0,-63.58121871948242,24.39351463317871,-0.006345138419419527,0.44049936532974243,-2.27978515625,0.11231239885091782
1.35,3.263747835002901,0.8500000238418579,-0.21955707669258118,0.0,-63.42451095581055,24.376028060913086,-0.006449546664953232,0.47023800015449524,-2.734863758087158,0.20367005467414856
1.4,3.559712941290589,0.8500000238418579,-0.21955707669258118,0.0,-63.25433349609375,24.349843978881836,-0.006553458981215954,0.5001679062843323,-3.479034900665283,0.3469700217247009
1.45,3.8411473089803922,0.8500000238418579,-0.21955707669258118,0.0,-63.07063674926758,24.317962646484375,-0.006648445036262274,0.5266621708869934,-4.348085880279541,0.4408071041107178
1.5,4.109761785286385,0.8500000238418579,-0.21955707669258118,0.0,-62.874202728271484,24.28062629699707,-0.006719283759593964,0.5457935333251953,-5.286105155944824,0.5007197260856628
1.55,4.379960702398251,0.8500000238418579,-0.15888357162475586,0.0,-62.66447067260742,24.241193771362305,-0.006780433468520641,0.5607106685638428,-6.130161762237549,0.47223323583602905
